,año,plataforma,actor
374,1936,Amazon, Murdock MacQuarrie
375,1936,Amazon, Clyde McClary
376,1936,Amazon, Bud McClure
377,1936,Amazon, Art Mix
378,1936,Amazon, George Morrell
379,1936,Amazon, Bud Pope
380,1936,Amazon, Francis Walker
381,1936,Amazon, Joe Yrigoyen
382,1992,Amazon,Matthew Modine
383,1992,Amazon, Jennifer Grey
384,1992,Amazon, Cliff Robertson
385,1992,Amazon, Jack Thompson
386,1992,Amazon, Stellan Skarsgård
387,1992,Amazon, Rebecca Miller
388,1992,Amazon, Ned Vaughn
389,1992,Amazon, James Rebhorn
390,1992,Amazon, Ron Palillo
391,2019,Amazon,Jonathan Chase Cook
392,2019,Amazon,William Lee Martin
393,2019,Amazon,William Lee Martin
394,2011,Amazon,Prince William
395,2011,Amazon, Kate Middleton
396,2021,Amazon,Bruce Greenwood
397,2021,Amazon, Ella Purnell
398,2021,Amazon, Brian Geraghty
399,2002,Amazon,Tracey Gold
400,2002,Amazon, Alexander Walters
401,1993,Amazon,Debra Winger
402,1993,Amazon, Dennis Quaid
403,1993,Amazon, Arliss Howard
404,1993,Amazon, M. Emmet Walsh
405,1993,Amazon, Jim Varney
406,2011,Amazon,Chris Kratt
407,2011,Amazon, Martin Kratt
408,2011,Amazon, Athena Karkanis
409,2011,Amazon, Jonathan Malen
410,2011,Amazon, Heather Bambrick
411,2011,Amazon, Zachary Bennett
412,2011,Amazon, Eva Almos
413,2011,Amazon, Cory Doran
414,2011,Amazon, Gavin Kratt
415,2011,Amazon, Aidan Kratt
416,2011,Amazon, Ronan Kratt
417,2011,Amazon, Addison Holley
418,2011,Amazon, Maya Lowe
419,2011,Amazon, Paige Roughely
420,2011,Amazon, Emilia McCarthy
421,2011,Amazon, Zoe Fraser
422,2011,Amazon, Rachel Marcus
423,2011,Amazon, Nolan Kratt
424,2011,Amazon, Julie Lemieux
425,2011,Amazon, Amariah Faulkner
426,2011,Amazon, Christian Martyn
427,2011,Amazon, Jacob Ewaniuk
428,2011,Amazon, Jaclyn Forbes
429,2011,Amazon, Ian Hanson
430,2011,Amazon, Aiden Kratt
431,2011,Amazon, Charles Vandervaart
432,2011,Amazon, Jenna Warren
433,2012,Amazon,Richard Burton
434,2012,Amazon, Roger Moore
435,2012,Amazon, Richard Harris
436,2011,Amazon,Daniel MacPherson
437,2011,Amazon, Michael Dorman
438,2011,Amazon, Alexander England
439,2011,Amazon, Zoe Ventoura
440,2011,Amazon, Anna Hutchison
441,2011,Amazon, Jeremy Sims
442,2011,Amazon, Nathaniel Dean
443,2011,Amazon, David Field
444,2011,Amazon, Caroline Brazier
445,2011,Amazon, Krew Boylan
446,2006,Amazon,Gore Vidal
447,2006,Amazon, John McCain
448,2006,Amazon, Ken Adelman
449,2018,Amazon,Abish Mathew
450,2018,Amazon,Neil Oliver
451,2010,Amazon,Whitney Cummings
452,2013,Amazon,Rupert Penry-Jones
453,2013,Amazon, Phil Davis
454,2013,Amazon, Steve Pemberton
455,2013,Amazon, Claire Rushbrook
456,2021,Amazon,Aleksey Vertkov
457,2021,Amazon, Vitaliy Kishchenko
458,2021,Amazon, Valeriy Grishko
459,2019,Amazon,Ashe Jaafaru
460,2019,Amazon,John Simm
461,2019,Amazon, Anthony Wang
462,2019,Amazon, Emilia Fox
463,2019,Amazon, Katie Leung
464,2019,Amazon, Anthony Hayes
465,2019,Amazon, Tim McInnerny
466,2019,Amazon, Tom Wu
467,2019,Amazon, Kae Alexander
468,2019,Amazon, Jason Wong
469,2019,Amazon, Thomas Chaanhing
470,2019,Amazon, Ryan McKen
471,2019,Amazon, Magdalene Bird
472,2019,Amazon, Max Keeble
473,2019,Amazon, Elliott Brough
474,2019,Amazon, Nick Reed
475,2019,Amazon, David Keeling
476,2019,Amazon, Rosalind Halstead
477,2019,Amazon, John Moraitis
478,2019,Amazon, Nicholas Bailey
479,2019,Amazon, Christophe R. Tek
480,2019,Amazon, Chike Chan
481,2019,Amazon, Arthur Lee
482,2019,Amazon, Daniel York
483,2019,Amazon, Tony Ho
484,2019,Amazon, Orion Lee
485,1946,Amazon,Ava Gardner
486,1946,Amazon, George Raft
487,1946,Amazon, Victor McLaglen
488,1946,Amazon, Tom Conway
489,1946,Amazon, Jorja Curtright
490,2018,Amazon,Kaitlin Cheung
491,2018,Amazon, Andrew Cheney
492,2018,Amazon, James Kyson
493,2018,Amazon, Brian Fong
494,2018,Amazon, Jennifer Klekas
495,2018,Amazon, Max Mendoza
496,2018,Amazon, Marcus Natividad
497,2018,Amazon, Ronnie Lazaro
498,2018,Amazon, Madeleine Nicolas
499,2019,Amazon,Amandla Stenberg
500,2019,Amazon, George McKay
501,2019,Amazon, Abbie Cornish
502,1944,Amazon,James Lydon
503,1944,Amazon, Barbara Belden
504,1944,Amazon, Regis Toomey
505,1944,Amazon, George Cleveland
506,1944,Amazon, Warren Mills
507,1944,Amazon, Jill Browning
508,2019,Amazon,Clara de la Rúa
509,2019,Amazon, Victoria Isabella Villa
510,2019,Amazon, Marta Tricerri
511,2008,Amazon,Jim Broadbent
512,2008,Amazon, Colin Firth
513,2008,Amazon, Gina McKee
514,2019,Amazon,J. Wells Jr.
515,2019,Amazon, Tina Christine
516,2019,Amazon, Dani Coleman
517,2019,Amazon, Jeffrey Creightney
518,2019,Amazon, Kemuel Crossty
519,2018,Amazon,Hassam
520,2018,Amazon, Carlos Ramírez
521,2018,Amazon, Bebsabe Duque
522,1955,Amazon,John Daly
523,2019,Amazon,John Young
524,2020,Amazon,Heidi Schreck
525,2020,Amazon, Mike Iveson
526,2020,Amazon, Rosdely Ciprian
527,2020,Amazon, Thursday Williams
528,1935,Amazon,Charles Starrett
529,1935,Amazon, Noel Madison
530,1935,Amazon, Virginia Cherrill
531,1935,Amazon, Charles Delaney
532,1935,Amazon, Jack Mulhall
533,1935,Amazon, Nina Guilbert
534,1935,Amazon, Henry Roquemore
535,1985,Amazon,Barry Corbin
536,1985,Amazon, Cherie Elledge-Grapes
537,1985,Amazon, Buck Ford
538,1985,Amazon, Leonard P. Geer
539,1985,Amazon, John C. Hill
540,1985,Amazon, Bo Hopkins
541,1985,Amazon, Arte Johnson
542,1985,Amazon, Jerry Reed
543,1937,Amazon,Smith Ballew
544,1937,Amazon, Heather Angel
545,1937,Amazon, LeRoy Mason
546,1937,Amazon, Howard P. Hickman
547,1937,Amazon, Ben Alexander
548,1936,Amazon,Rex Bell
549,1936,Amazon, Joan Barclay
550,2016,Amazon,Christa Clahane
551,2016,Amazon, Abbe Hoekstra
552,2016,Amazon, Zena Drive
553,2016,Amazon, Kyle Orzeck
554,2011,Amazon,Keiji Fujiwara
555,2011,Amazon, Michael Sinterniklaas
556,2017,Amazon,Shinba Tsuchiya | Ayane Sakura | Nobuhiko Okamoto | Kentaro Tomita | Sumire Morohoshi
557,2015,Amazon,Freddie Roman
558,2015,Amazon, Mark Kutsher
559,2015,Amazon, Helen Kutsher
560,2015,Amazon, Larry Strickler
